date,close,open,high,low,change
18-Jul-25,466.06,466.14,466.14,466.06,-0.03%
17-Jul-25,466.22,472.88,472.88,466.22,-1.32%
16-Jul-25,472.44,481.29,481.29,472.44,-1.83%
15-Jul-25,481.25,484.21,484.21,481.25,-0.56%
14-Jul-25,483.95,483.95,483.95,476.42,1.70%
11-Jul-25,475.86,475.86,475.86,468.99,1.53%
10-Jul-25,468.69,478.87,478.87,468.69,-2.10%
9-Jul-25,478.74,486.17,486.17,478.74,-1.50%
8-Jul-25,486.05,486.05,486.05,485.75,0.09%
7-Jul-25,485.61,485.61,485.61,481.85,0.89%
4-Jul-25,481.31,481.31,481.31,481.31,0.04%
3-Jul-25,481.13,491.84,491.84,481.13,-2.19%
2-Jul-25,491.89,491.89,491.89,488.23,0.79%
1-Jul-25,488.04,488.04,488.04,487.55,0.12%
30-Jun-25,487.47,498.31,498.31,487.47,-2.02%
27-Jun-25,497.52,504.55,504.55,497.52,-1.30%
26-Jun-25,504.06,504.06,504.06,501.01,0.59%
25-Jun-25,501.1,515.23,515.23,501.1,-2.69%
24-Jun-25,514.95,543.97,543.97,514.95,-5.28%
23-Jun-25,543.64,555.28,555.28,543.64,-1.91%
20-Jun-25,554.22,568.96,568.96,554.22,-2.54%
19-Jun-25,568.66,568.66,568.66,550.71,3.37%
18-Jun-25,550.14,550.14,550.14,532.75,3.32%
17-Jun-25,532.48,532.48,532.48,522.58,1.89%
16-Jun-25,522.62,554.78,554.78,522.62,-5.63%
13-Jun-25,553.78,553.78,553.78,531.74,4.16%
12-Jun-25,531.68,531.68,531.68,500.34,6.28%
11-Jun-25,500.24,504.44,504.44,500.24,-0.78%
10-Jun-25,504.19,514.87,514.87,504.19,-2.00%
9-Jun-25,514.47,518.11,518.11,514.47,-0.62%
6-Jun-25,517.7,523.39,523.39,517.7,-1.06%
5-Jun-25,523.25,523.25,523.25,516.12,1.43%
4-Jun-25,515.86,534.3,534.3,515.86,-3.44%
3-Jun-25,534.24,537.5,537.5,534.24,-0.58%
2-Jun-25,537.34,543.95,543.95,537.34,-1.10%
30-May-25,543.33,543.33,543.33,540.04,0.65%
29-May-25,539.83,544.97,544.97,539.83,-0.84%
28-May-25,544.41,551.39,551.39,544.41,-1.20%
27-May-25,551.02,558.46,558.46,551.02,-1.31%
26-May-25,558.35,558.46,558.46,558.35,0.16%
23-May-25,557.44,557.44,557.44,550.46,1.28%
22-May-25,550.37,550.37,550.37,529.28,4.04%
21-May-25,528.98,532.15,532.15,528.98,-0.55%
20-May-25,531.92,542.72,542.72,531.92,-1.92%
19-May-25,542.31,542.31,542.31,539.09,0.79%
16-May-25,538.08,552.02,552.02,538.08,-2.53%
15-May-25,552.05,552.05,552.05,549.44,0.49%
14-May-25,549.35,567.25,567.25,549.35,-3.19%
13-May-25,567.43,570.61,570.61,567.43,-0.54%
12-May-25,570.5,631.92,631.92,570.5,-9.51%
9-May-25,630.49,630.49,630.49,626.46,0.62%
8-May-25,626.62,643.77,643.77,626.62,-2.55%
7-May-25,642.99,666.08,666.08,642.99,-3.44%
6-May-25,665.88,674.2,674.2,665.88,-1.17%
5-May-25,673.76,673.76,673.76,673.34,0.20%
2-May-25,672.43,693.91,693.91,672.43,-3.01%
1-May-25,693.31,693.31,693.31,684.6,1.36%
30-Apr-25,684.04,684.04,684.04,646.94,5.77%
29-Apr-25,646.72,646.72,646.72,636.28,1.70%
28-Apr-25,635.88,636.76,636.76,635.88,0.00%
25-Apr-25,635.9,643.89,643.89,635.9,-1.19%
24-Apr-25,643.54,659.22,659.22,643.54,-2.36%
23-Apr-25,659.09,681.61,681.61,659.09,-3.20%
22-Apr-25,680.89,695.89,695.89,680.89,0.19%
21-Apr-25,679.58,679.93,679.93,679.58,0.05%
18-Apr-25,679.25,679.25,679.25,679.25,0.03%
17-Apr-25,679.03,702.24,702.24,679.03,-3.19%
16-Apr-25,701.38,701.38,701.38,694.29,1.04%
15-Apr-25,694.13,732.18,732.18,694.13,-5.16%
14-Apr-25,731.91,797.38,797.38,731.91,-8.10%
11-Apr-25,796.46,796.46,796.46,730.19,9.03%
10-Apr-25,730.48,730.48,730.48,715.31,31.60%
25-Mar-25,555.09,562.38,562.38,555.09,-1.28%
