category,eventid,eventid2,DT_ENTRY,END_DT_ENTRY,color,strokePattern,loc
fedmoves,F:-25,rt:4.25,12/11/2007,12/11/2007,,,
fedmoves,F:-75,rt:3.5,1/22/2008,1/22/2008,,,
fedmoves,F:-50,rt:3,1/30/2008,1/30/2008,,,
fedmoves,F:-75,rt:2.25,3/18/2008,3/18/2008,,,
fedmoves,F:-25,rt:2,4/30/2008,4/30/2008,,,
fedmoves,F:-50,rt:1.5,10/8/2008,10/8/2008,,,
fedmoves,F:-50,rt:1,10/29/2008,10/29/2008,,,
fedmoves,F:-75,rt:0.25,12/16/2008,12/16/2008,,,
fedmoves,F:+25,rt:0.5,12/16/2015,12/16/2015,,,
fedmoves,F:+25,rt:0.75,12/14/2016,12/14/2016,,,
fedmoves,F:+25,rt:1,3/15/2017,3/15/2017,,,
fedmoves,F:+25,rt:1.25,6/14/2017,6/14/2017,,,
fedmoves,F:+25,rt:1.5,12/13/2017,12/13/2017,,,
fedmoves,F:+25,rt:1.75,3/21/2018,3/21/2018,,,
fedmoves,F:+25,rt:2.00,6/13/2018,6/13/2018,,,
fedmoves,F:+25,rt:2.25,9/26/2018,9/26/2018,,,
fedmoves,F:+25,rt:2.50,12/19/2018,12/19/2018,,,
fedmoves,F:-25,rt:2.25,7/31/2019,7/31/2019,,,
fedmoves,F:-25,rt:2.20,9/18/2019,9/18/2019,,,
fedmoves,F:-25,rt:1.75,10/30/2019,10/30/2019,,,
fedmoves,F:-50,rt:1.25,3/13/2020,3/13/2020,,,
fedmoves,F:-75,rt:0.40,3/16/2020,3/16/2020,,,
fedmoves,F:-25,rt:0.25,3/18/2020,3/18/2020,,,
fedmoves,F:-15,rt:0.1,3/31/2020,3/31/2020,,,
fedmoves,F:+50,rt:0.50,3/16/2022,3/16/2022,red,solid,top
fedmoves,F:+50,rt:1,5/4/2022,5/4/2022,,,
fedmoves,F:+75,rt:1.75,6/15/2022,6/15/2022,,,
fedmoves,F:+75,rt:2.5,7/27/2022,7/27/2022,,,
fedmoves,F:+75,rt:3.25,9/21/2022,9/21/2022,,,
fedmoves,F:+75,rt:4,11/2/2022,11/2/2022,,,
fedmoves,F:+50,rt:4.5,12/14/2022,12/14/2022,,,
fedmoves,F:+25,rt:4.75,2/1/2023,2/1/2023,,,
fedmoves,F:+25,rt:5,3/22/2023,3/22/2023,,,
fedmoves,F:+25,rt:5.25,5/3/2023,5/3/2023,,,
fedmoves,F:+25,rt:5.5,7/26/2023,7/26/2023,,,
fedmoves,F:-50,rt:5,9/18/2024,9/18/2024,green,dotted,top
fedmoves,F:-25,rt:4.75,11/7/2024,11/7/2024,,,
fedmoves,F:-25,rt:4.5,12/18/2024,12/18/2024,,,
fedmoves,F:-25,rt:4.25,9/17/2025,9/17/2025,,,
fedmoves,F:-25,rt:4,10/29/2025,10/29/2025,,,
fedmoves,F:-25,rt:3.75,12/10/2025,12/10/2025,,,
